,carat,cut,color,clarity,depth,table,price,x,y,z
47796,0.58,Ideal,G,VS1,60.6,56,1899,5.43,5.48,3.3
7332,0.91,Very Good,G,VS1,63.4,54,4209,6.24,6.07,3.9
32752,0.42,Premium,I,SI1,62.6,58,803,4.8,4.76,2.99
35766,0.4,Ideal,E,VS2,62.3,56,912,4.72,4.75,2.95
13232,1.19,Premium,I,SI1,61.3,59,5464,6.84,6.79,4.18
36927,0.41,Premium,G,VS1,60.5,58,961,4.8,4.76,2.89
1993,0.91,Premium,F,SI2,62.1,56,3096,6.26,6.21,3.87
35088,0.3,Ideal,F,IF,61.8,56,886,4.29,4.32,2.66
42027,0.38,Ideal,E,VVS1,61.9,56,1267,4.64,4.67,2.88
22955,1.22,Ideal,G,VVS2,60,58,11003,6.95,6.99,4.18
12494,1.08,Very Good,F,SI1,58.2,63,5256,6.69,6.78,3.92
17622,1.15,Ideal,I,VS1,61.7,56,7096,6.73,6.76,4.16
24750,1.96,Very Good,H,SI2,62.7,58,13099,7.86,7.93,4.95
48678,0.54,Ideal,D,VS1,62.1,57,2004,5.19,5.22,3.23
22290,1.42,Premium,F,VS1,58.4,59,10338,7.36,7.32,4.29
28609,0.3,Premium,E,SI1,61.7,56,675,4.29,4.27,2.64
42002,0.51,Very Good,F,SI1,62,54,1265,5.15,5.18,3.2
11215,1.23,Very Good,J,VS2,62.8,59,4960,6.75,6.82,4.26
48353,0.74,Fair,H,SI2,62,53,1962,5.85,5.74,3.6
414,0.29,Ideal,F,VS1,61.6,56,555,4.26,4.31,2.64
52998,0.73,Ideal,I,VS1,61,56,2596,5.82,5.86,3.56
26169,2.14,Premium,I,SI1,59.5,59,15499,8.42,8.36,4.99
13787,1.01,Premium,G,VS2,59.8,61,5620,6.53,6.44,3.88
43125,0.51,Very Good,E,SI1,62.1,60,1386,5.08,5.03,3.14
48702,0.62,Premium,F,VS2,62.3,60,2009,5.46,5.39,3.38
32313,0.36,Ideal,E,VS2,62.6,56,789,4.52,4.56,2.84
24508,1.5,Premium,G,VS2,62.5,59,12787,7.27,7.23,4.53
42009,0.51,Premium,E,SI2,61.7,58,1265,5.14,5.07,3.15
41311,0.39,Good,G,IF,63.5,56,1213,4.65,4.67,2.96
20528,1.52,Ideal,G,SI2,61.3,57,8852,7.39,7.36,4.52
18504,1.53,Premium,I,SI2,62.1,59,7539,7.35,7.37,4.57
17682,1.44,Very Good,H,SI2,58.2,61,7128,7.45,7.51,4.35
51413,0.8,Premium,F,SI2,58.5,62,2371,6.08,6.05,3.55
39723,0.5,Good,E,SI1,64,57,1090,5.04,4.99,3.21
22328,1.26,Ideal,G,VS1,62.2,54,10371,6.89,6.98,4.31
34336,0.42,Ideal,I,VVS2,62.8,54,862,4.78,4.8,3.01
4044,1.05,Ideal,J,VS1,60.6,56,3528,6.59,6.55,3.98
4854,0.71,Ideal,F,VS1,60.9,56,3710,5.76,5.79,3.52
35814,0.31,Ideal,F,IF,62.3,54,914,4.33,4.37,2.71
18626,1.16,Ideal,G,VS2,62.2,55,7600,6.78,6.75,4.21
21589,1.23,Very Good,F,VS1,59.1,58,9694,7.06,7.09,4.18
16101,1,Good,G,SI1,59.9,58,6437,6.44,6.48,3.87
5380,0.34,Premium,I,SI1,60.2,59,574,4.55,4.52,2.73
48958,0.7,Very Good,H,SI1,62.9,56,2048,5.64,5.68,3.56
40403,0.55,Ideal,J,VS2,60.4,58,1133,5.29,5.34,3.21
50602,0.59,Ideal,G,VVS2,62.2,56,2283,5.39,5.35,3.34
31920,0.3,Ideal,G,VS1,62.8,57,776,4.29,4.25,2.68
24637,1.59,Ideal,H,VVS2,62.6,54,12971,7.43,7.47,4.67
5172,0.71,Ideal,G,IF,61.8,57,3772,5.7,5.75,3.54
29549,0.29,Very Good,D,SI2,59.7,56,705,4.37,4.4,2.62
47984,0.3,Very Good,I,VVS2,62.1,56,533,4.27,4.31,2.66
19526,1.09,Ideal,E,VS2,60.6,57,8158,6.66,6.67,4.04
45535,0.81,Fair,H,SI2,66.2,58,1687,5.78,5.74,3.81
6098,1,Fair,F,SI2,59.3,66,3975,6.44,6.51,3.84
42104,0.51,Good,F,SI1,64,57,1274,5.06,5.01,3.22
1576,0.7,Premium,E,VVS2,62.7,53,3007,5.65,5.61,3.53
32844,0.43,Ideal,D,SI1,61.6,56,807,4.82,4.86,2.98
20109,1.5,Ideal,G,SI2,61.4,56,8580,7.34,7.38,4.52
47709,0.58,Ideal,G,VS1,62,57,1884,5.32,5.35,3.31
50957,0.66,Very Good,H,VVS1,61.9,59,2323,5.59,5.65,3.48
26251,1.63,Ideal,G,VS1,61.7,55,15697,7.56,7.6,4.68
10768,1.11,Ideal,J,VS1,61.7,57,4854,6.67,6.72,4.13
42941,0.33,Ideal,G,SI1,61.6,56,506,4.43,4.47,2.74
29989,0.32,Ideal,F,VS1,61,54,716,4.42,4.44,2.7
28396,0.33,Premium,H,VS2,62.8,59,668,4.44,4.38,2.77
33981,0.4,Very Good,F,VS1,61.2,58,847,4.74,4.86,2.94
46814,0.51,Ideal,D,VS2,61.4,57,1807,5.16,5.13,3.16
52532,0.72,Ideal,I,VVS2,61.7,55,2530,5.71,5.76,3.54
24355,2.01,Premium,I,SI1,61,60,12617,8.16,8.11,4.96
40016,0.51,Very Good,D,SI2,61.5,59,1108,5.07,5.14,3.14
16011,1.33,Premium,H,SI2,62.8,52,6405,7.15,7.06,4.46
16876,1.26,Very Good,G,SI1,63,59,6733,6.84,6.88,4.32
53789,0.77,Ideal,F,SI2,61.3,56,2729,5.89,5.92,3.62
24071,1.6,Premium,H,VS1,60,59,12210,7.61,7.58,4.56
51266,0.6,Ideal,F,VS2,61.5,56,2358,5.43,5.47,3.35
28806,0.33,Ideal,E,VS2,62.4,54,682,4.44,4.47,2.78
31742,0.41,Premium,G,VS2,60.7,59,772,4.8,4.85,2.93
549,0.8,Premium,E,SI2,60.2,57,2829,6.05,6.01,3.63
50507,0.53,Ideal,E,VVS2,62.9,54,2271,5.19,5.15,3.25
24839,1.51,Ideal,G,VS2,62,56,13234,7.32,7.35,4.55
33263,0.3,Ideal,E,VVS1,59.5,60,826,4.36,4.38,2.6
36760,0.52,Ideal,H,SI2,60.5,56,956,5.25,5.23,3.17
24980,1.29,Ideal,D,VS1,62.4,55,13485,6.93,6.99,4.34
31583,0.35,Ideal,E,VS2,61.7,56,767,4.52,4.56,2.8
32524,0.35,Ideal,G,VVS2,62.1,56,798,4.47,4.51,2.79
41083,0.41,Ideal,F,VVS2,61,56,1192,4.82,4.78,2.93
49810,0.5,Ideal,E,VVS2,61.1,57,2165,5.13,5.15,3.14
32817,0.34,Ideal,D,VS2,62.4,53,805,4.49,4.52,2.81
17623,1,Premium,E,VS1,63,60,7096,6.38,6.32,4
21360,1.28,Premium,G,VS1,60.9,58,9505,7.09,7.01,4.29
14950,1,Good,D,SI1,64.1,57,6020,6.32,6.29,4.04
51600,0.7,Good,E,VS2,64.2,60,2394,5.58,5.64,3.6
21989,1.2,Premium,G,VVS2,61.2,58,10053,6.88,6.84,4.2
32213,0.31,Ideal,G,VVS1,60.9,55,789,4.4,4.43,2.69
43761,0.41,Ideal,F,IF,62.1,55,1439,4.76,4.81,2.97
15963,1.09,Very Good,G,VS2,60.9,56,6388,6.67,6.7,4.07
41953,0.23,Very Good,F,VVS2,62.9,57,505,3.9,3.95,2.47
32105,0.33,Ideal,D,VS2,62.1,55,781,4.43,4.46,2.76
50072,0.51,Premium,F,VS2,61.1,58,2203,5.19,5.16,3.16
37088,0.41,Ideal,E,SI1,62.1,54,969,4.81,4.76,2.97
41887,0.5,Ideal,E,SI1,62.4,56,1259,5.03,5.07,3.15
7211,1.01,Good,H,SI1,64,58,4191,6.37,6.31,4.06
3850,0.8,Good,F,VS1,59,60.9,3477,6.03,6.04,3.56
33032,0.32,Ideal,G,VVS1,61.2,55,814,4.41,4.44,2.71
15640,1,Premium,E,VS2,62.8,62,6272,6.29,6.26,3.94
45028,0.54,Premium,G,VS2,62.7,58,1637,5.19,5.15,3.24
52406,0.71,Good,E,SI1,60.8,62,2511,5.7,5.74,3.48
30665,0.4,Very Good,E,SI1,62,55,737,4.68,4.74,2.92
45875,0.51,Ideal,D,VS2,61.9,55,1716,5.19,5.15,3.2
35924,0.43,Premium,E,SI2,60.8,58,919,4.88,4.86,2.96
4316,0.78,Ideal,D,VS2,61.7,57,3595,5.87,5.93,3.64
45713,0.56,Premium,G,VS2,62.5,57,1698,5.28,5.25,3.29
32318,0.36,Premium,E,VS2,60.3,59,789,4.58,4.64,2.78
22421,1.14,Premium,E,VVS2,59.7,58,10446,6.91,6.83,4.1
6063,0.77,Very Good,G,VVS1,62.7,54,3966,5.84,5.89,3.67
10302,1.01,Very Good,D,SI2,62.9,60,4760,6.35,6.46,4.03
9963,1.09,Good,H,SI1,62.4,64,4700,6.61,6.51,4.09
10154,1.1,Premium,D,SI2,62.4,58,4725,6.6,6.57,4.11
2465,0.71,Ideal,E,VS2,62.1,57,3191,5.71,5.75,3.56
44318,0.31,Good,H,SI1,64,54,521,4.31,4.29,2.75
8881,1.02,Ideal,J,VS2,62,56,4485,6.42,6.45,3.99
24460,1.13,Premium,F,IF,59.8,60,12722,6.82,6.76,4.06
31523,0.34,Ideal,E,SI1,62.1,55,765,4.51,4.47,2.79
28352,0.31,Very Good,F,VS2,61.4,58.4,667,4.37,4.4,2.69
11159,1.21,Premium,D,SI2,59.7,58,4946,7.06,6.96,4.19
31540,0.3,Ideal,E,VVS2,61.5,58,766,4.29,4.3,2.64
14851,0.94,Premium,D,VS1,62.3,58,5980,6.34,6.28,3.93
25064,1.83,Very Good,I,VS1,61.9,57,13587,7.85,7.91,4.88
22435,1.09,Very Good,F,VVS1,61.4,58,10463,6.6,6.65,4.07
23803,1.5,Premium,D,SI1,61,61,11863,7.32,7.28,4.45
42489,0.52,Ideal,G,SI1,62.2,54,1319,5.16,5.19,3.22
37486,0.35,Premium,E,VS2,58.9,59,984,4.64,4.59,2.72
25227,2.24,Premium,J,SI2,62.2,59,13827,8.37,8.33,5.19
8098,1.08,Ideal,H,SI2,62.1,56,4344,6.54,6.6,4.08
27081,2.6,Premium,J,SI2,58.3,61,17209,9.05,8.94,5.24
34939,0.27,Good,E,VS1,57.5,63,377,4.24,4.28,2.45
8164,1.03,Premium,I,SI1,61.6,59,4362,6.46,6.49,3.99
6665,0.91,Ideal,H,SI1,61.6,56,4096,6.21,6.25,3.84
44030,0.51,Premium,E,SI1,62.3,58,1546,5.12,5.05,3.17
25146,1.53,Ideal,D,SI1,61.2,56,13714,7.48,7.45,4.57
22498,1.71,Premium,H,SI2,62.3,58,10534,7.66,7.62,4.76
14118,1.2,Very Good,I,VS2,62.5,59,5724,6.73,6.77,4.22
48017,0.63,Premium,H,VS1,62.9,60,1921,5.45,5.33,3.39
35897,0.32,Ideal,G,IF,62.2,54,918,4.42,4.45,2.76
10693,1.05,Good,H,SI1,59.2,60,4845,6.59,6.62,3.91
27449,2.32,Ideal,H,SI1,62.6,57,18080,8.46,8.52,5.32
10614,1.2,Good,G,SI1,63.5,60,4828,6.68,6.74,4.26
13307,1.02,Good,D,SI1,63.3,58,5497,6.35,6.39,4.03
3293,0.95,Very Good,J,VS1,62.4,57,3365,6.25,6.29,3.91
22645,1.5,Ideal,H,VS2,62.2,57,10692,7.27,7.33,4.54
37894,0.41,Very Good,G,VVS2,62.9,56,1007,4.7,4.74,2.97
12750,1.1,Very Good,D,SI2,61.1,58,5320,6.61,6.69,4.06
558,0.72,Ideal,E,SI1,62.3,57,2831,5.7,5.76,3.57
42695,0.54,Very Good,H,VS2,62.6,58,1338,5.16,5.19,3.24
45132,0.54,Very Good,F,VS1,61.8,59,1653,5.15,5.22,3.21
47820,0.53,Very Good,G,VVS1,60.3,54,1904,5.29,5.33,3.2
37805,0.35,Very Good,G,IF,60.5,56,1001,4.56,4.6,2.77
39847,0.51,Very Good,F,SI2,62.7,56,1100,5.07,5.1,3.19
38921,0.33,Ideal,G,IF,61.3,57,1052,4.46,4.42,2.72
40284,0.34,Ideal,I,VS2,61.1,55,495,4.51,4.55,2.77
2627,0.72,Ideal,F,VS2,61.1,56,3226,5.92,5.8,3.55
31007,0.29,Ideal,F,IF,61.9,56,748,4.27,4.3,2.65
16525,1.33,Very Good,G,SI2,62,59,6603,7.1,7.04,4.38
25262,2,Very Good,I,SI2,59.5,61,13892,8.16,8.18,4.86
34962,0.32,Ideal,I,VS1,62.1,57,471,4.37,4.42,2.73
32570,0.38,Very Good,F,VS2,61.9,59,800,4.61,4.66,2.87
29590,0.43,Good,F,SI1,60.7,61,706,4.86,4.89,2.96
42124,0.5,Ideal,H,VS2,62.3,54,1279,5.11,5.13,3.19
21771,1.23,Premium,D,VS2,59.3,59,9836,7.03,6.96,4.15
50452,0.7,Ideal,F,SI1,59.9,57,2264,5.74,5.82,3.46
2760,0.93,Premium,J,VS2,62.3,60,3250,6.3,6.23,3.9
37590,0.44,Ideal,G,SI1,61.5,57,990,4.88,4.87,3
4651,0.9,Good,G,SI1,63.8,59,3669,6.08,6.05,3.87
53869,0.75,Premium,F,SI1,61.1,59,2744,5.86,5.79,3.56
24874,1.55,Ideal,E,SI1,61.5,56,13291,7.4,7.36,4.54
53930,0.71,Ideal,G,VS1,61.4,56,2756,5.76,5.73,3.53
5818,0.81,Ideal,E,SI1,61.9,55,3913,5.98,6.01,3.71
42233,0.53,Very Good,F,SI1,60.9,56,1291,5.21,5.23,3.18
11353,1.21,Very Good,H,SI2,61.1,60,4991,6.86,6.91,4.21
38174,0.7,Fair,I,I1,66.3,63,1014,5.58,5.43,3.66
19089,1.53,Very Good,H,SI1,63.1,56,7862,7.32,7.27,4.6
34290,0.26,Good,H,VVS2,63.3,58,468,4.04,4.08,2.57
31294,0.32,Ideal,E,VS1,61.6,57,758,4.35,4.39,2.69
43768,0.54,Ideal,H,VS2,60.1,57,1439,5.33,5.28,3.19
52818,0.71,Very Good,E,SI1,62,59,2573,5.69,5.76,3.55
48595,0.7,Fair,H,SI1,61,66,1995,5.68,5.64,3.45
46237,0.55,Ideal,E,SI1,62.4,58,1752,5.28,5.23,3.27
11289,0.9,Very Good,H,VVS1,62.3,59,4977,6.09,6.15,3.81
30250,0.26,Premium,E,VVS2,60.8,61,724,4.13,4.12,2.51
3608,0.72,Ideal,E,VS2,61.7,55,3427,5.8,5.77,3.57
36414,0.31,Ideal,E,VS1,60.4,57,942,4.4,4.37,2.65
45902,0.52,Ideal,D,SI1,62.2,57,1720,5.16,5.13,3.2
25609,1.73,Good,E,SI1,64.2,58,14479,7.54,7.5,4.83
8795,1.21,Premium,F,SI2,61.8,59,4472,6.82,6.77,4.2
34523,0.33,Premium,G,VVS1,61.9,59,868,4.38,4.41,2.72
37729,0.3,Ideal,F,VVS1,61.9,57,995,4.32,4.3,2.67
39408,0.41,Premium,F,VS1,58.6,61,1076,4.87,4.83,2.84
9587,0.82,Ideal,D,VS2,61.9,56,4628,5.98,6.03,3.72
50804,0.6,Ideal,E,VS1,62.2,56,2306,5.36,5.44,3.36
12508,1.25,Ideal,I,SI2,62,57,5259,6.85,6.92,4.27
50960,0.51,Premium,E,VVS1,61.4,60,2323,5.11,5.05,3.12
5160,0.9,Good,F,SI2,58,57,3770,6.34,6.41,3.7
35346,0.42,Very Good,H,SI1,63.1,57,898,4.78,4.76,3.01
29616,0.3,Ideal,J,VVS2,62.1,56,439,4.31,4.32,2.68
53441,0.81,Ideal,E,SI2,61.4,57,2673,6,5.97,3.68
44713,0.5,Ideal,E,VS2,61.4,55,1614,5.13,5.16,3.16
51832,0.72,Good,F,SI1,63.6,55,2421,5.71,5.64,3.61
29632,0.23,Very Good,E,VS1,61.3,56,442,3.96,3.98,2.43
11143,1.15,Very Good,D,SI2,63.5,58,4939,6.73,6.69,4.26
12179,1.02,Premium,E,SI1,61.5,58,5183,6.46,6.51,3.99
6170,0.9,Very Good,I,VS2,59.3,59,3992,6.27,6.3,3.73
27067,2.56,Premium,J,SI1,61.4,58,17186,8.76,8.73,5.37
25975,2.19,Premium,I,SI2,60.8,60,15169,8.38,8.34,5.08
32265,0.3,Ideal,H,IF,61.5,56,789,4.31,4.34,2.66
24685,2.11,Premium,J,VS2,59.9,60,13046,8.36,8.41,5.02
19873,1.52,Premium,J,VS1,62.2,59,8426,7.32,7.38,4.57
37525,0.39,Ideal,F,VVS2,61.2,56,987,4.7,4.75,2.89
12471,1.08,Premium,H,VS2,62.1,58,5250,6.63,6.51,4.08
41862,0.33,Ideal,D,VVS1,60.5,56,1257,4.5,4.53,2.73
17968,1.23,Ideal,H,VS2,62.3,56,7260,6.86,6.79,4.25
40269,0.33,Very Good,G,SI1,61.1,59,492,4.42,4.45,2.71
51898,0.71,Very Good,H,VS2,62.6,56,2432,5.68,5.72,3.57
47265,0.7,Premium,J,VVS2,61.9,58,1843,5.67,5.73,3.53
24073,2.21,Very Good,J,SI2,60.6,62,12215,8.37,8.45,5.1
2474,0.91,Good,H,VS2,63.8,59,3192,5.99,5.96,3.82
43418,0.52,Ideal,G,SI1,61.2,55,1413,5.17,5.22,3.18
40815,0.39,Ideal,D,VS1,61.9,57,1170,4.71,4.69,2.91
47600,0.52,Ideal,G,VVS2,61.6,56,1878,5.18,5.15,3.18
49529,0.59,Premium,F,SI1,62.2,60,2124,5.37,5.33,3.33
18169,1.25,Ideal,H,VS2,62.2,57,7365,6.92,6.88,4.29
39037,0.37,Ideal,G,IF,61.4,55,1056,4.63,4.66,2.85
42992,0.36,Very Good,E,IF,60.3,57,1368,4.6,4.63,2.78
8011,1.15,Premium,E,SI2,62.5,58,4328,6.72,6.65,4.18
20047,0.28,Ideal,E,VS1,62,56,625,4.21,4.18,2.6
37716,0.34,Ideal,H,VVS1,62.9,57,995,4.47,4.44,2.8
41020,0.25,Premium,G,SI2,59,60,1186,5.33,5.28,3.12
16968,1,Very Good,D,VS2,63.5,57,6776,6.37,6.32,4.03
31462,0.4,Very Good,I,SI1,63.2,55,765,4.72,4.68,2.97
37851,0.33,Ideal,E,VS1,62.7,57,1002,4.45,4.38,2.77
36575,0.35,Ideal,E,VS1,61.3,55,945,4.58,4.55,2.8
28288,0.24,Very Good,D,VS1,61.1,60,367,3.96,3.99,2.43
8779,0.9,Good,D,SI1,58.5,63,4469,6.21,6.3,3.66
6708,0.23,Premium,D,VS2,58.5,61,411,4.06,3.98,2.35
52505,0.72,Ideal,E,SI2,61.4,55,2526,5.78,5.8,3.56
39063,0.52,Very Good,E,SI2,64,55,1059,5.07,5.11,3.26
27389,0.41,Premium,J,VS1,62.1,58,647,4.75,4.79,2.96
18865,1.57,Ideal,J,SI1,62.3,57,7737,7.45,7.39,4.62
26717,0.32,Very Good,G,VS1,62.9,57,645,4.37,4.4,2.76
6609,0.9,Very Good,H,VS2,63.3,59,4082,6.05,6.01,3.82
50547,0.7,Very Good,H,VS2,62.9,58,2276,5.6,5.65,3.54
2200,0.54,Ideal,D,VVS1,61.4,58,3139,5.28,5.25,3.23
4713,0.31,Good,D,SI1,63.5,55,571,4.27,4.3,2.72
16085,1.49,Fair,H,I1,66.9,61,6425,6.93,6.89,4.62
2581,0.7,Premium,D,VS1,62.9,59,3214,5.72,5.66,3.58
35911,0.4,Ideal,I,VS1,61.9,55,919,4.74,4.77,2.94
12232,1.01,Good,H,SI1,59.5,62,5197,6.49,6.55,3.88
48003,0.52,Ideal,D,VS2,62.3,54,1919,5.19,5.14,3.22
21473,1.32,Ideal,H,VVS2,62,54,9571,7.05,7.06,4.37
38087,0.3,Ideal,F,IF,62,56,1013,4.34,4.3,2.68
1482,0.82,Ideal,I,VS1,61.6,57,2986,6,6.05,3.71
31188,0.32,Ideal,D,SI1,62.8,56,756,4.35,4.34,2.73
27124,2.16,Premium,I,SI1,62.9,55,17313,8.28,8.2,5.18
36000,0.42,Ideal,G,VS1,61.8,56,921,4.8,4.84,2.98
52473,0.7,Premium,E,SI1,61.9,60,2518,5.67,5.6,3.49
36459,0.31,Ideal,D,VS2,62.2,55,942,4.34,4.31,2.69
49100,0.64,Fair,F,VS2,57,62.5,2063,5.67,5.78,3.26
25147,2.2,Premium,I,SI2,61.8,54,13719,8.45,8.4,5.2
6671,0.95,Very Good,J,VVS2,60.5,59,4098,6.33,6.36,3.84
11139,1,Very Good,F,SI1,63.4,61,4939,6.35,6.29,4.01
38343,0.32,Ideal,G,IF,62.9,55,1020,4.41,4.37,2.76
50054,0.71,Very Good,G,SI1,62.7,59,2201,5.65,5.67,3.55
45151,0.5,Premium,F,VS2,61.8,58,1654,5.1,5.06,3.14
483,0.73,Good,E,SI1,63.6,57,2821,5.72,5.7,3.63
29752,0.39,Very Good,G,SI1,61.7,59.4,709,4.65,4.7,2.88
3453,0.74,Ideal,G,VVS1,62.1,56,3388,5.78,5.82,3.6
13559,1.2,Premium,D,SI2,62.6,57,5551,6.84,6.74,4.25
7184,0.96,Very Good,E,SI2,62.6,60,4186,6.26,6.32,3.94
2749,0.76,Good,E,VS2,63.2,56,3249,5.82,5.86,3.69
13646,1.24,Very Good,I,SI1,60,59,5584,6.98,7.01,4.2
20908,1.79,Good,G,SI2,57.8,59,9122,8.07,7.94,4.63
2715,0.33,Ideal,H,SI1,61.7,55,564,4.43,4.46,2.74
22414,2.63,Very Good,J,I1,62.3,61,10437,8.76,8.81,5.47
33604,0.31,Very Good,D,SI2,61.5,60,462,4.31,4.34,2.66
35057,0.47,Ideal,I,VS2,62.1,54,884,4.98,5,3.1
30652,0.32,Ideal,D,VS1,61.8,56,736,4.39,4.41,2.72
9484,1.02,Very Good,H,VS2,60,63,4604,6.54,6.49,3.91
3672,0.78,Premium,E,VS1,62.5,57,3444,5.94,5.9,3.7
3110,0.74,Very Good,E,VS2,62.8,58,3323,5.73,5.76,3.61
24545,1.51,Premium,G,VS1,62.4,60,12831,7.3,7.34,4.57
40458,0.5,Ideal,H,SI1,62.1,58,1140,5.04,5.07,3.14
26793,2.38,Premium,H,SI1,58.2,60,16643,8.81,8.78,5.12
18231,1,Ideal,G,VVS2,62.6,55,7403,6.37,6.4,4
29426,0.42,Ideal,D,SI2,62.4,57,700,4.78,4.81,2.99
45140,0.57,Very Good,E,VS2,63,59,1654,5.25,5.29,3.32
44134,0.59,Very Good,H,VS1,62.4,58,1561,5.39,5.42,3.37
48146,0.7,Ideal,J,VS2,61.6,56,1940,5.71,5.65,3.5
18631,1.11,Ideal,D,VS2,62,57,7602,6.62,6.67,4.12
50980,0.31,Very Good,G,VS2,61,56,544,4.35,4.37,2.66
33634,0.37,Premium,E,SI1,59.3,58,833,4.75,4.73,2.81
6150,1.05,Good,F,SI2,63.6,59,3989,6.4,6.36,4.06
20976,1.53,Ideal,I,VS2,62.3,57,9189,7.3,7.35,4.56
50800,0.71,Premium,E,SI2,61.1,58,2306,5.76,5.73,3.51
5273,0.9,Ideal,F,SI2,61.9,56,3796,6.19,6.24,3.85
38765,0.31,Ideal,F,IF,62,56,1046,4.36,4.32,2.69
35225,0.33,Ideal,F,VVS1,61.3,55,893,4.46,4.48,2.74
52579,0.7,Ideal,E,SI1,62.8,56,2537,5.69,5.72,3.58
43500,0.47,Very Good,D,VS1,59.5,61,1422,5.06,5.03,3.02
8166,1.01,Premium,G,SI2,62.4,58,4362,6.38,6.41,3.99
37622,0.44,Premium,I,VVS1,61.5,58,990,4.95,4.87,3.02
50567,0.7,Very Good,F,SI1,63.1,54,2278,5.64,5.67,3.57
26000,4.01,Premium,J,I1,62.5,62,15223,10.02,9.94,6.24
51026,0.71,Ideal,H,SI1,60.7,59,2328,5.75,5.81,3.51
52407,0.71,Ideal,E,SI2,59.5,57,2511,5.87,5.82,3.48
21934,1.21,Very Good,F,VS1,62.3,58,10009,6.76,6.85,4.24
23221,1.7,Ideal,I,SI1,62.4,56,11228,7.68,7.64,4.78
31031,0.31,Ideal,F,VS2,61.6,56,749,4.38,4.35,2.69
14287,1.06,Very Good,H,VS2,62.5,57,5783,6.47,6.49,4.05
15083,1.02,Very Good,G,VS2,63,57,6062,6.37,6.39,4.02
22555,1.53,Very Good,I,VS1,62.8,55,10602,7.35,7.4,4.63
21169,1.7,Premium,I,SI2,62.9,59,9330,7.57,7.51,4.74
50282,0.3,Very Good,H,VS1,61.9,55,541,4.32,4.37,2.69
17385,0.34,Good,E,SI2,63.7,55,612,4.46,4.43,2.83
50170,0.7,Premium,D,SI1,61.4,59,2218,5.67,5.64,3.47
6945,0.95,Premium,E,SI2,60.7,59,4142,6.3,6.36,3.84
23983,2.12,Premium,J,SI2,62.3,61,12140,8.21,8.16,5.1
5627,0.92,Premium,D,SI2,59.4,59,3877,6.39,6.28,3.76
18936,1.08,Ideal,F,VS2,61,57,7781,6.61,6.68,4.06
39042,0.36,Ideal,F,IF,62.5,54,1056,4.54,4.58,2.85
25397,1.5,Premium,G,VS1,61.2,59,14105,7.32,7.36,4.49
30504,0.31,Ideal,D,SI1,62.9,56,732,4.34,4.31,2.72
27401,2.08,Ideal,J,IF,61,55,17986,8.32,8.25,5.05
52991,0.77,Fair,H,VS1,64.6,56.4,2594,5.78,5.84,3.75
18765,1.08,Ideal,E,SI1,61.5,55,7672,6.59,6.62,4.06
31736,0.31,Ideal,H,IF,62,56,772,4.36,4.39,2.71
47787,0.5,Ideal,G,VVS1,62.2,56,1897,5.08,5.11,3.17
25127,2.02,Premium,E,SI2,59.9,58,13677,8.18,8.14,4.89
33665,0.6,Premium,H,I1,62.1,62,835,5.33,5.27,3.3
7226,1.04,Good,H,SI2,57.9,58,4193,6.72,6.68,3.88
46356,0.71,Very Good,J,SI1,61,61,1760,5.66,5.71,3.47
39687,0.4,Very Good,F,VVS2,62.8,56,1088,4.69,4.73,2.96
40669,0.44,Premium,G,VVS2,60.9,57,1155,4.93,4.89,2.99
1265,0.73,Ideal,G,VS1,61.7,55,2948,5.8,5.84,3.59
23111,1.36,Ideal,F,VS1,61.4,57,11132,7.25,7.09,4.4
47953,0.71,Premium,I,SI2,60.3,58,1917,5.78,5.72,3.47
11189,1.18,Premium,I,SI1,60.5,59,4956,6.9,6.82,4.15
39691,0.4,Ideal,F,VVS2,62.4,57,1088,4.69,4.73,2.94
13884,0.9,Very Good,G,VVS2,62.1,57,5653,6.14,6.2,3.84
22747,1.78,Premium,E,SI2,60.5,59,10765,7.89,7.8,4.75
18046,0.3,Very Good,E,VS2,62.6,62,614,4.21,4.25,2.65
49568,0.62,Good,F,VVS2,59.9,62,2131,5.51,5.53,3.3
36516,0.3,Premium,F,VVS2,61.1,59,945,4.32,4.29,2.63
9219,1.13,Ideal,H,SI2,62,57,4556,6.74,6.64,4.15
2196,0.9,Good,E,SI2,64.1,57,3139,6.07,6.09,3.9
38988,0.36,Premium,G,VVS2,61.9,58,1053,4.6,4.54,2.83
51543,0.83,Premium,G,SI2,62.9,57,2386,5.99,5.96,3.76
31022,0.37,Good,H,VS2,63.7,55,749,4.56,4.54,2.9
4064,0.31,Good,D,SI1,63.5,57,571,4.28,4.32,2.73
23958,2.02,Very Good,G,SI2,63.1,57,12094,8.01,7.97,5.04
18387,0.31,Fair,F,SI1,64.7,56,618,4.28,4.25,2.76
44784,0.51,Ideal,D,VS2,61.8,54,1623,5.12,5.17,3.18
17018,1.01,Very Good,D,VS2,63.3,58,6794,6.35,6.38,4.03
41100,0.38,Ideal,F,IF,61,56,1193,4.68,4.7,2.86
6014,0.88,Ideal,D,SI2,62.2,56,3962,6.12,6.16,3.82
25099,1.51,Very Good,G,VS1,63.5,55,13624,7.26,7.3,4.62
9058,0.34,Ideal,I,SI1,62.4,56,589,4.49,4.45,2.79
42968,0.53,Very Good,G,SI1,60.2,57,1367,5.22,5.28,3.16
22432,2.1,Ideal,I,SI2,63,56,10457,8.18,8.15,5.12
