,carat,cut,color,clarity,depth,table,price,x,y,z,set
6188,0.77,Ideal,H,VS2,61.3,56,3996,5.91,5.94,3.63,1
6189,1.02,Premium,F,SI2,58,60,3996,6.7,6.64,3.87,1
6190,0.85,Very Good,E,VS2,63.6,56,3997,5.97,6.01,3.81,1
6191,1.01,Ideal,J,SI2,61.4,56,3997,6.44,6.47,3.97,1
6192,0.92,Ideal,D,SI2,60.3,56,3997,6.32,6.35,3.82,1
6193,0.9,Very Good,D,SI1,61.1,63,3997,6.21,6.17,3.78,1
6194,0.9,Very Good,D,SI1,62.4,63,3997,6.18,6.15,3.85,1
6195,0.9,Very Good,D,SI1,62.5,63,3997,6.14,6.11,3.83,1
6197,0.9,Very Good,D,SI1,63.2,62,3997,6.13,6.06,3.85,1
6198,1.03,Ideal,I,SI2,62.2,57,3997,6.5,6.46,4.03,1
6199,1.01,Very Good,I,SI2,63.7,57,3998,6.32,6.36,4.04,1
6200,1.01,Very Good,J,SI1,62.8,57,3998,6.37,6.41,4.01,1
6201,0.91,Very Good,H,SI1,59.2,60,3998,6.3,6.41,3.76,1
6204,1,Premium,G,SI2,59,62,3998,6.52,6.47,3.83,1
6205,1.19,Premium,H,SI2,61.5,58,3998,6.88,6.78,4.2,1
6206,1.02,Very Good,H,SI2,63.5,60,3998,6.33,6.24,3.99,1
6208,1.01,Good,H,SI2,63.7,55,3999,6.32,6.37,4.04,1
6209,1.01,Premium,H,SI2,59.4,59,3999,6.53,6.56,3.89,1
6210,1.01,Ideal,I,SI1,60.6,57,3999,6.51,6.56,3.96,1
6211,0.7,Ideal,E,VS1,61.2,56,4000,5.72,5.75,3.51,1
6213,0.9,Ideal,G,SI1,61.6,57,4001,6.17,6.24,3.82,1
6214,0.9,Ideal,H,SI2,62.1,55,4001,6.17,6.2,3.84,1
6215,1.03,Good,G,SI2,63.7,60,4001,6.35,6.28,4.02,1
6216,0.8,Very Good,G,VVS2,62.5,56,4002,5.95,5.98,3.73,1
6217,0.99,Very Good,J,SI1,60.3,57,4002,6.44,6.49,3.9,1
6218,0.7,Very Good,D,VS1,59.3,55,4003,5.86,5.83,3.47,1
6219,0.89,Very Good,E,SI1,62.7,57,4003,6.08,6.13,3.83,1
6220,1.01,Ideal,G,SI1,62.9,57,4004,6.37,6.3,3.98,1
6222,1.01,Good,F,SI2,63.1,58,4004,6.34,6.38,4.01,1
6224,1,Very Good,E,SI2,58.8,62,4004,6.5,6.53,3.83,1
6225,1,Very Good,E,SI2,59.5,63,4004,6.41,6.47,3.83,1
6226,1,Very Good,E,SI2,59.1,61,4004,6.39,6.44,3.79,1
6227,1.02,Very Good,H,SI2,58.3,61,4004,6.57,6.63,3.85,1
6228,1.02,Very Good,H,SI2,63.5,58,4004,6.34,6.38,4.04,1
6229,0.9,Very Good,F,SI1,63.3,55,4004,6.05,6.08,3.84,1
6230,0.9,Good,F,SI1,58.8,60,4004,6.22,6.26,3.67,1
6231,1.01,Fair,G,SI1,64.2,59,4004,6.31,6.28,4.04,1
6233,1.1,Premium,H,SI2,59.5,57,4004,6.81,6.74,4.03,1
6234,1.1,Premium,H,SI2,62.8,55,4004,6.68,6.57,4.16,1
6235,0.75,Very Good,E,VVS2,62.8,57,4005,5.74,5.78,3.62,1
6236,0.9,Good,F,SI1,62.6,58,4006,6.1,6.14,3.83,1
6237,0.9,Ideal,H,VS2,62.6,57,4007,6.19,6.15,3.86,1
6238,0.75,Ideal,D,VS1,62,58,4007,5.77,5.84,3.6,1
6240,1.06,Premium,I,SI2,58.4,58,4007,6.7,6.65,3.9,1
6241,0.9,Premium,D,SI2,62.9,56,4007,6.19,6.09,3.86,1
6242,0.9,Ideal,D,SI2,62.4,56,4007,6.24,6.16,3.87,1
6243,1.01,Premium,F,SI2,61.8,59,4008,6.41,6.31,3.93,1
6245,1.03,Ideal,J,SI2,62.1,54,4008,6.47,6.51,4.03,1
6246,0.9,Ideal,G,SI1,60.8,58,4008,6.2,6.29,3.8,1
6247,0.9,Ideal,G,SI1,61.9,59,4008,6.16,6.19,3.82,1
6248,0.9,Ideal,G,SI1,61.6,58,4008,6.16,6.21,3.81,1
6249,0.9,Good,G,SI1,62.5,62,4008,6.04,6.09,3.79,1
6250,0.9,Very Good,F,SI1,63,61,4009,6.09,6.14,3.85,1
6251,0.83,Ideal,F,SI1,61.8,55,4009,6.01,6.06,3.73,1
6252,1.05,Very Good,E,SI2,61.7,59,4010,6.52,6.58,4.04,1
6255,0.93,Premium,F,SI1,62.5,58,4010,6.22,6.19,3.88,1
6257,0.92,Premium,E,SI2,61.7,59,4011,6.18,6.27,3.84,1
6258,0.92,Ideal,E,SI2,62.2,56,4011,6.2,6.24,3.87,1
6260,0.92,Ideal,E,SI2,62.1,53,4011,6.22,6.25,3.87,1
6261,0.9,Ideal,I,VVS2,61.9,55,4011,6.21,6.23,3.85,1
6263,1.01,Good,F,SI2,59.4,60,4011,6.44,6.49,3.84,1
6264,1.27,Premium,J,VS2,62.8,58,4011,6.96,6.92,4.36,1
6265,0.91,Very Good,H,VS2,63.5,57,4012,6.12,6.16,3.9,1
6266,0.87,Ideal,D,SI2,61.4,54,4012,6.15,6.2,3.79,1
6267,0.74,Ideal,F,VVS1,60.9,57,4013,5.83,5.86,3.56,1
6269,1.04,Very Good,F,SI2,63.2,58,4013,6.39,6.34,4.02,1
6270,1.04,Ideal,I,VS2,62.9,56,4013,6.5,6.41,4.06,1
6271,1.04,Premium,F,SI2,62.8,60,4013,6.41,6.38,4.01,1
6273,1.12,Premium,H,SI2,62.1,56,4014,6.7,6.65,4.14,1
6275,1,Premium,E,SI2,60.4,62,4014,6.52,6.42,3.91,1
6276,1,Very Good,H,SI2,63,61,4015,6.31,6.35,3.99,1
6277,1,Good,I,SI1,63.2,56,4015,6.31,6.37,4.01,1
6278,0.71,Ideal,G,VVS1,61.2,56,4015,5.75,5.81,3.54,1
6279,0.9,Ideal,H,SI2,61,56,4016,6.23,6.29,3.82,1
6280,0.9,Good,F,SI1,59.3,56,4016,6.27,6.32,3.73,1
6281,1.01,Good,I,VS1,63.8,57,4016,6.31,6.23,4,1
6283,1.01,Premium,F,SI2,62.5,61,4017,6.37,6.33,3.97,1
6284,1.01,Ideal,F,SI2,62.7,57,4017,6.43,6.37,4.01,1
6286,0.97,Very Good,I,VS2,62.2,55.9,4018,6.34,6.29,3.94,1
6288,0.91,Premium,H,VS2,62.5,59,4018,6.19,6.09,3.84,1
6290,0.97,Good,H,SI1,62.1,60,4020,6.24,6.29,3.89,1
6291,1.07,Ideal,G,SI2,61.1,57,4021,6.61,6.65,4.05,1
6292,0.9,Very Good,H,VS1,62.5,56,4021,6.13,6.19,3.85,1
6294,1.15,Very Good,J,SI2,63.6,57,4021,6.6,6.64,4.21,1
6296,0.7,Very Good,D,VVS2,62.8,60,4022,5.65,5.69,3.56,1
6298,0.65,Ideal,D,VVS1,61.8,57,4022,5.54,5.56,3.43,1
6299,0.91,Ideal,I,VS1,61.9,56,4022,6.2,6.23,3.85,1
6301,1.14,Premium,J,SI2,62.3,56,4022,6.73,6.66,4.17,1
6302,0.9,Premium,G,VS2,61,58,4022,6.2,6.13,3.76,1
6303,0.9,Premium,G,VS2,59.6,61,4022,6.25,6.2,3.71,1
6305,1.5,Premium,H,I1,62.9,60,4022,7.31,7.22,4.57,1
6309,0.83,Ideal,E,SI1,61.5,55,4024,6.05,6.08,3.73,1
6310,1.23,Ideal,H,I1,61.8,56,4025,6.85,6.91,4.25,1
6311,0.56,Very Good,D,IF,62.5,59,4025,5.26,5.3,3.3,1
6312,1.13,Good,F,SI2,64,58,4025,6.58,6.52,4.19,1
6314,0.91,Premium,F,SI1,61,59,4026,6.23,6.19,3.79,1
6316,1,Good,E,SI2,64,54,4026,6.31,6.26,4.01,1
6318,0.94,Premium,E,SI2,62.4,58,4027,6.33,6.26,3.93,1
6319,1.16,Ideal,J,SI1,60.7,57,4028,6.83,6.77,4.13,1
6320,1.01,Good,F,SI2,61.3,62,4028,6.44,6.48,3.96,1
6321,1.11,Premium,I,SI2,61.2,61,4028,6.69,6.65,4.08,1
6322,1.11,Very Good,H,SI2,63.4,55,4028,6.54,6.51,4.14,1
6323,1,Good,H,VS2,63.8,59,4028,6.28,6.26,4,1
6324,1.11,Very Good,H,SI2,61.5,59,4029,6.56,6.61,4.05,1
6325,0.71,Ideal,D,VS2,60.1,56,4029,5.77,5.83,3.48,1
6326,0.71,Ideal,D,VS2,61.2,57,4029,5.72,5.76,3.51,1
6327,0.71,Ideal,D,VS2,61.2,55,4029,5.74,5.78,3.53,1
6328,0.71,Ideal,D,VS2,60.9,56,4029,5.76,5.79,3.52,1
6329,0.71,Ideal,D,VS2,61.7,56,4029,5.71,5.74,3.53,1
6330,0.91,Ideal,G,VS1,61.3,56,4029,6.28,6.21,3.83,1
6332,0.83,Ideal,F,VS1,62,57,4030,6.02,5.97,3.72,1
6333,0.91,Very Good,E,SI1,61.9,61,4031,6.11,6.14,3.79,1
6334,1.06,Premium,H,SI2,62.6,58,4031,6.52,6.46,4.06,1
6336,1,Premium,J,VS1,62.8,57,4032,6.39,6.35,4,1
6337,1,Ideal,J,VS1,62.3,56,4032,6.43,6.38,3.99,1
6338,1,Premium,H,SI2,61,57,4032,6.51,6.4,3.94,1
6339,0.57,Very Good,D,IF,61.3,57,4032,5.33,5.41,3.29,1
6340,0.9,Ideal,G,SI2,61.5,57,4032,6.19,6.23,3.82,1
6341,1,Fair,E,SI2,57.3,62,4032,6.54,6.59,3.76,1
6342,1,Fair,G,VS2,44,53,4032,6.31,6.24,4.12,1
6343,1,Very Good,I,SI1,60.4,63,4032,6.44,6.37,3.87,1
6344,1.2,Premium,H,SI2,59.8,58,4032,6.92,6.83,4.11,1
6345,0.9,Premium,H,VS2,61.6,58,4032,6.26,6.18,3.83,1
6347,1,Premium,H,SI2,62.7,59,4032,6.35,6.31,3.97,1
6348,1,Good,I,VVS2,57.4,59,4032,6.61,6.53,3.77,1
6351,0.91,Ideal,H,VS2,62.6,57,4033,6.2,6.23,3.89,1
6352,1,Very Good,F,SI2,63.4,55,4033,6.3,6.38,4.02,1
6353,0.9,Very Good,E,SI1,60.1,58,4034,6.25,6.29,3.77,1
6354,0.9,Ideal,E,SI2,61.7,56,4034,6.21,6.26,3.85,1
6355,0.9,Ideal,E,SI1,60.1,56,4034,6.3,6.35,3.8,1
6356,1.03,Ideal,E,SI1,58.9,56,4035,6.61,6.57,3.88,1
6357,1,Very Good,F,SI2,63.4,58,4036,6.31,6.25,3.98,1
6358,0.9,Ideal,G,SI1,62.4,55,4036,6.19,6.15,3.85,1
6359,1,Fair,F,SI2,59,67,4036,6.48,6.41,3.8,1
6360,0.91,Premium,F,SI1,61.7,59,4036,6.21,6.17,3.82,1
6362,0.32,Premium,I,VS2,62.8,58,576,4.37,4.33,2.73,1
6363,0.32,Ideal,I,VS2,63,57,576,4.37,4.33,2.74,1
6364,0.32,Ideal,I,VS2,63,55,576,4.39,4.34,2.75,1
6365,0.32,Very Good,I,VS2,63.4,55,576,4.37,4.33,2.76,1
6366,0.32,Premium,H,SI1,61.9,59,576,4.41,4.38,2.72,1
6367,0.32,Very Good,H,SI1,63.1,54,576,4.42,4.36,2.77,1
6368,0.32,Premium,H,SI1,61.3,60,576,4.42,4.36,2.69,1
6369,0.32,Premium,H,SI1,62.2,56,576,4.39,4.36,2.72,1
6370,0.32,Premium,H,SI1,61.9,58,576,4.38,4.34,2.7,1
6371,0.32,Very Good,H,SI1,63.1,55,576,4.37,4.34,2.75,1
6372,0.32,Premium,E,SI2,61.2,58,576,4.44,4.39,2.7,1
6373,0.32,Ideal,E,SI2,62.7,55,576,4.42,4.39,2.76,1
6374,0.32,Premium,E,SI2,61.7,60,576,4.41,4.38,2.71,1
6377,0.25,Very Good,F,VVS1,60.7,59,576,4.07,4.1,2.48,1
6378,0.25,Premium,E,VVS1,60.7,60,576,4.09,4.11,2.49,1
6379,0.25,Ideal,E,VVS1,61.2,57,576,4.08,4.12,2.51,1
6380,0.25,Premium,E,VVS2,61.5,59,576,4.02,4.04,2.48,1
6381,0.25,Premium,E,VVS2,62.5,59,576,4.02,4.05,2.52,1
6382,0.25,Ideal,E,VVS2,62.1,57,576,4.04,4.07,2.52,1
6383,0.25,Premium,E,VVS2,62,59,576,4.05,4.08,2.52,1
6384,0.25,Premium,F,IF,61.1,58,576,4.08,4.1,2.5,1
6385,0.25,Very Good,E,VVS1,62.9,59,576,3.99,4.02,2.52,1
6386,0.25,Premium,E,VVS2,62.5,59,576,4.02,4.04,2.52,1
6387,0.25,Good,E,VVS2,63.1,56,576,4,4.05,2.54,1
6388,0.25,Ideal,E,VVS2,61.6,57,576,4.08,4.1,2.52,1
6389,0.25,Very Good,E,VVS1,62.9,58,576,4.01,4.03,2.53,1
6391,1.04,Premium,J,SI1,60.2,56,4036,6.61,6.54,3.96,1
6392,0.77,Premium,D,VS1,59.4,59,4037,5.96,6,3.55,1
6393,0.92,Premium,F,SI1,61.8,59,4037,6.21,6.25,3.85,1
6394,0.92,Very Good,F,SI1,62.9,56,4037,6.2,6.24,3.91,1
6395,0.92,Very Good,F,SI1,62.7,57,4037,6.14,6.2,3.87,1
6397,1.02,Premium,H,SI1,59.1,60,4037,6.59,6.54,3.88,1
6398,1.01,Premium,G,SI2,61.8,58,4038,6.39,6.36,3.94,1
6399,1.01,Premium,G,SI2,62.1,61,4038,6.38,6.27,3.93,1
6400,1.01,Premium,G,SI2,63,58,4038,6.34,6.29,3.98,1
6401,1.03,Premium,I,SI1,61,58,4038,6.52,6.47,3.96,1
6402,1.03,Fair,H,SI2,67,61,4038,6.25,6.17,4.16,1
6403,1.01,Ideal,G,SI2,61.2,57,4038,6.45,6.4,3.92,1
6404,1.01,Premium,G,SI2,61.1,58,4038,6.39,6.37,3.9,1
6405,1.01,Ideal,G,SI2,63.2,57,4038,6.33,6.28,3.99,1
6406,1.03,Premium,H,SI2,62.1,59,4038,6.47,6.42,4,1
6408,1.02,Very Good,H,SI2,61.1,61,4039,6.48,6.51,3.97,1
6409,0.76,Ideal,E,VS2,62.1,55,4039,5.84,5.88,3.64,1
6410,0.77,Ideal,D,VS1,62.2,55,4039,5.85,5.88,3.65,1
6411,0.92,Premium,H,VS1,61.7,62,4039,6.2,6.12,3.8,1
6412,1.13,Premium,E,SI2,59.4,62,4040,6.83,6.78,4.04,1
6413,0.74,Fair,D,VVS2,65.4,53,4040,5.73,5.71,3.74,1
6414,0.91,Very Good,D,SI1,63.1,61,4041,6.16,6.1,3.87,1
6415,1.05,Very Good,H,SI2,61.4,58,4042,6.54,6.58,4.03,1
6417,0.71,Ideal,E,VVS2,62,53.9,4042,5.73,5.77,3.57,1
6418,0.54,Ideal,D,VVS1,61.3,56,4042,5.24,5.26,3.22,1
6419,1,Good,I,SI1,65.6,56,4042,6.23,6.3,4.11,1
6422,0.8,Ideal,F,VS2,62.1,56,4043,5.93,5.98,3.7,1
6423,1.04,Premium,J,VS2,58.7,58,4043,6.68,6.61,3.9,1
6424,0.9,Ideal,H,VS2,62.4,56,4044,6.15,6.18,3.85,1
6426,1.01,Premium,E,SI2,60.6,58,4044,6.47,6.53,3.94,1
6427,1.01,Ideal,E,SI2,61.7,57,4044,6.5,6.47,4,1
6428,0.9,Ideal,G,SI2,61.4,56,4044,6.19,6.23,3.81,1
6430,1.01,Fair,H,VS1,66.1,55,4044,6.28,6.24,4.14,1
6432,1.02,Ideal,G,SI1,62.4,56,4044,6.42,6.37,3.99,1
6433,1.02,Ideal,D,SI2,62.5,57,4044,6.43,6.38,4,1
6434,1.02,Fair,G,SI1,64.5,56,4044,6.3,6.23,4.04,1
6435,1.2,Fair,G,SI2,65.5,59,4044,6.73,6.53,4.34,1
6436,0.91,Premium,G,SI1,62.6,58,4045,6.14,6.17,3.85,1
6437,0.91,Very Good,G,SI1,62.8,58,4045,6.15,6.18,3.87,1
6438,0.91,Premium,G,SI1,62.2,59,4045,6.15,6.19,3.84,1
6439,0.91,Premium,G,SI1,61.8,60,4045,6.18,6.21,3.83,1
6440,1.29,Very Good,G,SI2,63.2,54,4045,6.96,6.94,4.39,1
6441,1.09,Premium,J,SI1,62.3,59,4046,6.55,6.59,4.09,1
6442,0.79,Ideal,H,IF,61.3,56,4046,5.96,5.98,3.66,1
6443,1.01,Very Good,I,SI2,63.7,56,4047,6.33,6.38,4.05,1
6444,0.9,Premium,F,SI1,62.3,58,4047,6.18,6.12,3.83,1
6446,1.01,Good,G,SI2,59.2,65,4047,6.35,6.41,3.78,1
6447,1.01,Fair,G,SI2,58.3,62,4047,6.46,6.5,3.78,1
6448,1.09,Premium,G,SI2,60.7,57,4047,6.72,6.62,4.06,1
6449,1.1,Ideal,H,VS2,62.6,57,4048,6.61,6.56,4.12,1
6450,0.91,Very Good,F,SI1,62.3,60,4049,6.08,6.15,3.81,1
6451,0.91,Ideal,G,SI1,61.8,57,4049,6.16,6.2,3.82,1
6452,1.01,Good,F,SI2,65.7,58,4049,6.12,6.2,4.05,1
6454,0.93,Premium,H,VS2,61,60,4050,6.29,6.26,3.82,1
6455,1.23,Good,D,I1,63.7,58,4050,6.79,6.72,4.3,1
6456,0.91,Premium,D,SI2,61.5,56,4051,6.27,6.22,3.84,1
6457,0.91,Premium,D,SI2,62.2,59,4051,6.23,6.19,3.86,1
6458,0.91,Premium,D,SI2,61.1,60,4051,6.29,6.24,3.83,1
6460,0.99,Good,F,SI2,63.3,54,4052,6.36,6.43,4.05,1
6461,0.9,Premium,G,VS2,62.8,60,4052,6.14,6.08,3.84,1
6462,0.71,Ideal,E,VS1,61.1,57,4053,5.74,5.78,3.52,1
6465,1,Good,F,SI2,61.8,58,4053,6.43,6.48,3.99,1
6466,0.94,Fair,F,SI1,56.8,67,4053,6.56,6.44,3.69,1
6467,1.17,Good,J,SI1,63.9,55,4054,6.66,6.73,4.28,1
6468,0.9,Very Good,E,SI1,61.8,60,4054,6.14,6.2,3.81,1
6469,0.9,Very Good,E,SI1,62.2,60,4054,6.14,6.17,3.83,1
6470,0.9,Very Good,F,SI1,59.8,54,4054,6.25,6.32,3.76,1
6471,0.9,Very Good,F,SI1,63.3,57,4054,6.1,6.16,3.88,1
6473,1.03,Ideal,J,SI2,62.4,56,4054,6.44,6.48,4.03,1
6474,0.9,Ideal,F,SI1,62.5,56,4054,6.13,6.16,3.84,1
6475,0.88,Ideal,F,SI1,62.3,53,4054,6.12,6.15,3.82,1
6477,0.9,Good,E,SI1,62.4,62,4054,6.13,6.17,3.84,1
6478,1.01,Premium,E,SI2,62.8,57,4054,6.41,6.36,4.01,1
6479,1.11,Fair,J,SI2,64.8,55.1,4056,6.44,6.55,4.21,1
6480,1.02,Premium,F,SI2,61.1,62,4057,6.54,6.49,3.98,1
6481,1.06,Very Good,G,SI2,63.4,61,4057,6.46,6.37,4.07,1
6482,0.9,Fair,E,VS2,65,55,4057,6.11,6.04,3.95,1
6483,1.22,Very Good,J,SI2,62.2,60,4058,6.77,6.89,4.25,1
6484,1.24,Fair,G,SI2,65.7,57,4058,6.72,6.68,4.4,1
6485,0.9,Very Good,G,SI1,62.7,59,4059,6.12,6.17,3.85,1
6486,1.04,Ideal,J,SI1,60.8,57,4059,6.54,6.59,3.99,1
6487,0.9,Ideal,G,SI1,62.4,57,4059,6.15,6.19,3.85,1
6488,0.96,Premium,G,SI2,61.1,59,4059,6.32,6.28,3.85,1
6489,1.03,Very Good,G,SI2,63.1,58,4060,6.41,6.37,4.03,1
6491,0.96,Very Good,D,SI2,60,60,4060,6.43,6.47,3.87,1
6492,1.25,Very Good,H,SI2,63.5,57,4060,6.73,6.65,4.25,1
6493,1.06,Good,H,SI1,57.2,60,4060,6.84,6.74,3.88,1
6494,1.02,Premium,I,SI2,62.2,58,4061,6.41,6.36,3.97,1
6495,0.9,Good,F,SI1,63.9,59,4062,6.06,6.09,3.88,1
6496,0.9,Premium,F,SI1,60.4,59,4062,6.29,6.32,3.81,1
6497,0.9,Very Good,E,VS2,61.1,63,4062,6.2,6.17,3.78,1
6498,0.89,Ideal,G,VVS2,61.7,55,4062,6.22,6.19,3.83,1
6500,0.9,Premium,E,VS2,62.3,55,4062,6.18,6.14,3.84,1
6501,0.97,Premium,F,SI2,61.9,58,4063,6.31,6.35,3.92,1
6502,0.97,Very Good,F,SI2,59.9,59,4063,6.38,6.45,3.84,1
6503,0.97,Fair,F,SI1,56.4,66,4063,6.59,6.54,3.7,1
6505,0.9,Very Good,H,VS2,62.1,60,4064,6.11,6.2,3.82,1
6506,1.01,Very Good,D,SI2,62.9,59,4064,6.29,6.37,3.98,1
6507,1.01,Good,G,SI1,63.1,55,4064,6.31,6.33,3.99,1
6508,1.01,Very Good,G,SI1,62.3,59,4064,6.34,6.37,3.96,1
6509,0.96,Very Good,H,SI1,63.1,58,4064,6.2,6.25,3.93,1
6510,0.9,Premium,H,VS1,63,59,4064,6.13,6.1,3.85,1
6511,1.12,Premium,J,SI1,62.3,57,4064,6.72,6.61,4.15,1
6512,1.12,Premium,J,SI1,62.7,55,4064,6.65,6.61,4.16,1
6513,1.44,Premium,J,SI2,58.2,58,4064,7.39,7.35,4.29,1
6514,0.9,Ideal,H,VS1,61.2,57,4064,6.28,6.24,3.83,1
6515,0.9,Premium,H,VS1,61.5,59,4064,6.19,6.13,3.79,1
6516,1.12,Premium,H,SI2,62.4,58,4065,6.58,6.63,4.12,1
6517,1.1,Good,E,SI2,63.3,56,4065,6.53,6.58,4.15,1
6518,0.92,Ideal,F,SI2,62,54,4065,6.26,6.32,3.9,1
6519,1,Good,D,SI2,64.3,59,4065,6.21,6.3,4.02,1
6521,0.91,Very Good,H,VS1,62.7,63,4066,6.1,6.03,3.8,1
6522,1.12,Very Good,J,SI2,58.5,60,4066,6.83,6.89,4.01,1
6523,1.1,Very Good,G,SI2,63.4,56,4066,6.56,6.54,4.15,1
6524,0.91,Ideal,D,SI2,62.6,54,4067,6.22,6.25,3.9,1
6525,0.91,Good,F,SI1,58,57,4067,6.36,6.47,3.72,1
6526,0.9,Very Good,D,SI1,62.4,63,4068,6.15,6.18,3.85,1
6527,0.9,Very Good,D,SI1,61.8,61,4068,6.16,6.2,3.82,1
6528,0.9,Very Good,D,SI1,62.5,63,4068,6.11,6.14,3.83,1
6529,0.9,Very Good,D,SI1,61.1,63,4068,6.17,6.21,3.78,1
6532,0.92,Ideal,G,SI2,62.4,56,4068,6.21,6.23,3.88,1
6533,0.95,Ideal,E,SI2,62.2,56,4068,6.26,6.35,3.92,1
6535,0.8,Ideal,F,VS1,62.8,56,4070,5.91,5.96,3.73,1
6536,0.95,Premium,E,SI2,60.7,59,4070,6.36,6.3,3.84,1
6537,1.03,Premium,E,SI2,58.8,62,4070,6.58,6.51,3.85,1
6538,1.1,Ideal,E,SI2,59.4,54,4071,6.79,6.74,4.02,1
6539,1.18,Good,E,SI2,63.6,57,4071,6.74,6.72,4.28,1
6540,1.12,Premium,D,SI2,61.2,59,4071,6.7,6.66,4.09,1
6541,1.01,Premium,I,SI1,61.8,58,4072,6.45,6.37,3.96,1
6543,1.01,Very Good,F,SI2,63.1,57,4072,6.37,6.3,4,1
6544,1.01,Premium,D,SI2,61.7,59,4072,6.41,6.37,3.94,1
6545,0.9,Ideal,H,VS2,62.7,57,4072,6.13,6.15,3.85,1
6546,0.9,Good,H,VS1,60.6,61,4072,6.13,6.19,3.73,1
6547,1.01,Premium,H,SI2,59.4,59,4072,6.56,6.53,3.89,1
6548,1.01,Good,H,SI2,63.7,55,4072,6.37,6.32,4.04,1
6550,1.01,Very Good,I,SI1,63.4,62,4072,6.25,6.18,3.94,1
6551,1.01,Premium,F,SI2,62,59,4072,6.49,6.43,4.01,1
6552,1.01,Good,F,SI2,63.6,59,4072,6.38,6.34,4.04,1
6553,1.01,Premium,I,SI2,60.5,60,4072,6.52,6.5,3.94,1
6554,1.01,Premium,I,SI1,58.6,62,4072,6.51,6.45,3.8,1
6555,0.93,Premium,I,VS2,62.7,61,4073,6.24,6.14,3.88,1
6556,1.11,Ideal,J,SI2,62.5,57,4073,6.64,6.6,4.14,1
6557,0.9,Very Good,F,SI1,61.6,58,4074,6.12,6.26,3.81,1
6558,0.99,Premium,F,SI2,60.6,61,4075,6.45,6.38,3.89,1
6559,1.07,Premium,I,SI1,58.4,60,4075,6.78,6.68,3.93,1
6560,1.11,Very Good,I,SI2,63.1,57,4075,6.59,6.54,4.14,1
6562,0.91,Ideal,E,VS2,62.1,55,4077,6.17,6.14,3.82,1
6563,0.92,Premium,H,VS2,61.3,58,4077,6.21,6.26,3.82,1
6564,1.01,Good,F,SI2,56.9,60,4077,6.68,6.64,3.79,1
6565,1,Good,E,SI2,61.5,64,4077,6.29,6.22,3.85,1
6566,0.9,Ideal,G,SI2,60.6,55,4077,6.27,6.33,3.82,1
6569,1,Premium,E,SI2,59.1,61,4077,6.44,6.39,3.79,1
6571,1,Ideal,E,SI2,60.7,55,4077,6.39,6.33,3.86,1
6574,1.04,Ideal,H,SI2,59.6,56,4077,6.64,6.59,3.94,1
6575,1.04,Ideal,H,SI2,62.2,56,4077,6.51,6.48,4.04,1
6576,1.12,Premium,I,SI1,61.3,58,4077,6.69,6.68,4.1,1
6577,1,Premium,E,SI2,62,59,4077,6.43,6.3,3.95,1
6578,1,Premium,I,VS1,60.6,58,4077,6.47,6.4,3.9,1
6579,1,Fair,E,SI2,64.6,60,4077,6.23,6.18,4.01,1
6580,0.9,Good,D,SI2,64,59,4078,6.04,6.09,3.88,1
6581,0.9,Very Good,D,SI2,62.9,56,4078,6.09,6.19,3.86,1
6582,0.9,Ideal,D,SI2,62.4,56,4078,6.16,6.24,3.87,1
6583,1.03,Premium,H,SI2,60.7,59,4078,6.48,6.54,3.95,1
6584,1.03,Ideal,I,SI1,61.3,56,4078,6.49,6.53,3.99,1
6585,1.03,Premium,H,SI2,62.3,59,4078,6.42,6.46,4.01,1
6587,1.01,Ideal,H,SI2,60.7,59,4078,6.47,6.45,3.92,1
6588,1.01,Ideal,H,SI2,61.3,59,4078,6.5,6.46,3.97,1
6589,0.97,Ideal,E,SI2,62.3,56,4078,6.28,6.33,3.93,1
6590,1.06,Premium,E,SI1,59.2,60,4078,6.64,6.6,3.92,1
6591,1.02,Premium,G,SI2,58.1,58,4078,6.67,6.58,3.85,1
6592,1.19,Premium,G,SI2,62.4,59,4078,6.74,6.71,4.2,1
6593,1.01,Good,G,SI2,63.5,58,4079,6.34,6.39,4.04,1
6594,1.01,Ideal,G,SI2,59.5,57,4079,6.56,6.59,3.91,1
6595,0.9,Premium,G,VS2,60.6,61,4079,6.19,6.13,3.73,1
6596,1,Very Good,I,SI2,60.7,59,4080,6.4,6.46,3.9,1
6598,0.9,Very Good,G,VS2,63.5,62,4081,6.07,6.11,3.87,1
6599,1,Very Good,F,SI2,62.8,57,4081,6.37,6.44,4.02,1
6600,1,Good,I,VS2,62.6,59,4081,6.28,6.33,3.95,1
6601,1,Very Good,F,SI2,62.9,59,4081,6.3,6.39,3.99,1
6602,1,Very Good,F,SI2,62.6,58,4081,6.31,6.37,3.97,1
6603,1,Good,F,SI2,63.8,58,4081,6.28,6.33,4.02,1
6604,1,Good,F,SI2,62.7,57,4081,6.29,6.34,3.96,1
6605,0.93,Very Good,F,SI1,58.8,60,4081,6.37,6.49,3.78,1
6607,0.91,Very Good,F,SI2,60.6,56,4081,6.27,6.3,3.81,1
6608,1,Good,H,SI2,63,56,4081,6.31,6.38,4,1
6610,1,Very Good,F,SI2,60.2,59,4082,6.41,6.48,3.88,1
6611,0.74,Ideal,E,VVS2,62.2,57,4082,5.78,5.83,3.61,1
6613,0.72,Ideal,D,VS2,61,55,4082,5.79,5.81,3.54,1
